WPS Index Rank,Country,Code,"Women, Peace, and Security Index",Region,Education,Employment,Financial Inclusion,Cell Phone Use,Parliamentary Representation,Absence of Legal Discrimination,Access to Justice,Maternal Mortality Ratio,Son Bias,Intimate partner violence ,Community Safety,Political Violence Targeting Women,Proximity to Conflict
1,Denmark,DNK,0.939,DC,13.2,77.9,100,100,43.6,100,4,4,105.6,3.3,85,0,0
2,Iceland,ISL,0.932,DC,13.9,83.7,100,100,46,100,3.4,3,105.9,2.8,82,0,0
3,Norway,NOR,0.924,DC,13.1,78.6,100,100,44.4,96.9,3.7,1,106.1,4.4,86,0,0
3,Sweden,SWE,0.924,DC,12.8,82.2,100,100,45,100,3.7,4,105.6,6.3,74,0,0
5,Finland,FIN,0.921,DC,13.1,78.4,99.1,100,45.5,97.5,3.5,8,105.2,8.1,78,0,0
6,Luxembourg,LUX,0.918,DC,12.8,74.4,98.2,93,35,100,3.8,11,105.3,3.5,86,0,0
7,Belgium,BEL,0.912,DC,12.3,71.6,98.7,95,43.1,100,3.9,4,104.9,4.8,63,0,0
8,Netherlands,NLD,0.905,DC,12.4,79.5,99.5,95,39.6,100,3.4,4,105.3,5.1,69,0,0
9,Austria,AUT,0.898,DC,12,74.7,100,95,38.7,96.9,3,6,105.5,3.6,82,0,0
9,New Zealand,NZL,0.898,DC,12.9,79.5,99.2,95,45.5,97.5,3.6,7,105.3,4.2,47,0,0
11,Australia,AUS,0.896,DC,12.9,76.5,100,95,44.9,96.9,3.5,2,105.6,2.9,52,0,0
11,Estonia,EST,0.896,CEE&CA,13.8,82.5,99.6,100,28.7,97.5,3.5,5,106.1,4.2,75,0,0
13,Ireland,IRL,0.891,DC,11.9,75.8,99.5,95,30.3,100,3.7,4,105.6,3.3,68,0,0
14,Slovenia,SVN,0.889,CEE&CA,12.8,77.4,98.2,97,30,96.9,3.6,3,106.3,3.4,79,0,0
15,Lithuania,LTU,0.887,CEE&CA,13.6,80.4,90.4,100,28.4,93.8,3.5,8,105.2,5.2,65,0,0
16,Canada,CAN,0.885,DC,13.9,75.5,99.5,88,36,100,3,12,105.5,2.6,63,0,0
17,Latvia,LVA,0.884,CEE&CA,13.6,77.8,97.6,100,31,100,3.8,19,106.3,6.3,65,0,0
17,Singapore,SGP,0.884,DC,11.7,76.6,96.9,100,29.6,82.5,3.2,6,106,2.4,97,0,0
19,Switzerland,CHE,0.877,DC,13.5,80.1,99,91,37.8,88.1,3.9,5,105.1,1.7,84,0,0
20,United Arab Emirates,ARE,0.872,MENA,13.4,59,86.7,100,50,82.5,2.1,3,104.5,8.2,91,0,0
21,Germany,DEU,0.869,DC,14,78.5,100,96,32.6,100,3.9,4,105.6,5.1,78,0,0
22,Japan,JPN,0.866,DC,12.5,78.6,98.8,92,19,78.8,3.6,3,105.1,3.9,71,0,0
23,France,FRA,0.864,DC,11.4,74.1,100,96,36.5,100,3.4,7,105,5,70,0,0
23,United Kingdom,GBR,0.864,DC,13.6,75.8,99.9,95,34.7,97.5,3,8,105.5,4.2,73,0,0
25,Spain,ESP,0.862,DC,10.5,69,97.5,98,43.5,100,3.8,3,106.5,2.9,75,0,0
26,Portugal,PRT,0.861,DC,9.6,78.6,90.2,94,34.8,100,3,15,105.7,4.4,68,0,0
27,Poland,POL,0.854,CEE&CA,13.3,74.5,95.7,95,29.1,93.8,2.8,2,106.1,3.1,60,0,0
27,Taiwan,TWN,0.854,EAP,10.3,65.6,93.6,95,41.6,83.3,3.4,13,106.7,6.5,82,0,0
29,Serbia,SRB,0.844,CEE&CA,11,71.5,89.8,93,37.2,93.8,3.1,11,106.9,3.9,69,0,0
30,Malta,MLT,0.841,DC,12,76.1,95.3,96,29.1,91.3,3.3,8,106.8,4,56,0,0
31,United States,USA,0.84,DC,14,71.2,96.8,99,28.3,91.3,3.4,17,104.9,6,58,0,0
32,Czechia,CZE,0.832,CEE&CA,12.7,79.3,93.4,97,24.3,93.8,3.5,3,105.4,4.1,70,0,0
32,Hungary,HUN,0.832,CEE&CA,12.1,80.1,86.9,96,15.2,93.8,3,12,105.9,5.7,65,0,0
34,Costa Rica,CRI,0.824,LAC,8.9,55.9,61.1,94,49.1,91.9,3.5,24,104.6,7.2,44,0,0
35,Uruguay,URY,0.822,LAC,10.8,71.8,75.7,96,29.2,88.8,3.3,15,105.5,4.3,40,0,0
36,Moldova,MDA,0.821,CEE&CA,11.9,78.1,62.9,90,40,90.6,2.8,19,106.2,9.1,58,0,0
37,South Korea,KOR,0.815,DC,12.1,67.8,98.7,96,20.3,88.1,3.3,4,105.9,8,72,0,0
38,Bulgaria,BGR,0.814,CEE&CA,11.5,76.9,84.3,91,21.3,90.6,2.4,6,106,5.9,64,0,0
39,Italy,ITA,0.811,DC,10.6,60.1,97.1,99,33.9,97.5,3.7,6,105.9,3.5,44,0,0
40,Seychelles,SYC,0.81,SSA,11,77.9,76.5,87.3,28.6,76.3,3.9,42,103.6,10.2,58.6,0,0
41,Hong Kong,HKG,0.809,EAP,12,67.7,98.2,98,18.9,91.9,2.2,29.5,107.7,2.5,92,0,0
42,Barbados,BRB,0.807,LAC,10.4,76.7,83.6,93.7,29.4,80,3.1,35,103.5,6.2,56.4,0,0
43,Romania,ROU,0.801,CEE&CA,11.3,63.5,65.7,95,21.7,90.6,2.8,12,105.6,6.9,59,0,0
44,Mongolia,MNG,0.799,EAP,9.9,63.4,99,99,25.4,90.6,2.5,41,104.4,11.5,46,0,0
45,Georgia,GEO,0.798,CEE&CA,12.8,63.9,70.7,96,22,88.1,2.4,20,106.6,2.9,79,0,10.6
46,Slovakia,SVK,0.797,CEE&CA,12.9,77.1,94,97,23.3,87.5,3.2,4,105.5,5.9,58,0,0
47,Argentina,ARG,0.791,LAC,11.4,67.3,73.8,91,43.2,79.4,2.8,33,105.1,4.5,41,0,0
48,Croatia,HRV,0.788,CEE&CA,11.9,73.7,90,97,33.1,93.8,3,3,106,4,69,0.1,0
49,Grenada,GRD,0.787,LAC,9.3,70.4,77.1,92.5,31,80.6,2.4,48,103.9,7.8,60.6,0,0
49,North Macedonia,MKD,0.787,CEE&CA,9.6,56.2,79.9,94,39.2,85,2.3,3,107.6,4.2,68,0,0
51,Suriname,SUR,0.779,LAC,9.2,53.9,70.9,91.5,31.4,76.9,3.1,84,104,7.7,63.6,0,0
52,Cyprus,CYP,0.77,CEE&CA,12.4,76.4,92.7,100,14.3,96.9,3.7,14,106.5,3.1,59,0.1,0
52,Guyana,GUY,0.77,LAC,8.6,42.4,70.9,91.5,39.4,86.9,2.6,75,103.7,10.5,63.6,0,0
54,Paraguay,PRY,0.768,LAC,8.9,66.2,55.3,94,23.2,94.4,2.2,58,105,5.5,44,0,0
55,Bahrain,BHR,0.765,MENA,12.1,48.4,75.4,100,22.5,68.1,1.4,17,103.8,8.2,87,0,0
56,Armenia,ARM,0.762,CEE&CA,11.3,62.4,52.2,94,38.3,90.6,3.1,19,108.3,4.6,79,0,42.1
57,Thailand,THA,0.761,EAP,8.9,76.5,92.7,90,20.4,78.1,1.9,34,106.4,9.3,59,0,2.8
58,Oman,OMN,0.755,MENA,12.1,45.6,63.5,100,10.2,46.3,2.6,13,104.4,8.2,90,0,0
59,Bosnia and Herzegovina,BIH,0.753,CEE&CA,10.3,51.6,70.4,88,15.8,85,2.4,6,106.7,3.4,62,0,0
60,Greece,GRC,0.752,DC,11.1,61.9,93.4,92,23.3,100,3.2,5,106.4,5.1,51,0.1,0
61,Montenegro,MNE,0.743,CEE&CA,12.2,63.1,67.6,94,27.2,85,2.8,6,106.7,4.4,85,0.3,0
62,Cabo Verde,CPV,0.741,SSA,5.8,58.4,54.8,71,44.4,86.3,2.6,40,103.3,10.9,58,0,0
63,Belarus,BLR,0.739,CEE&CA,12.1,80.8,81.3,88,32.7,75.6,1,1,105.9,6.3,56,0,0
63,Chile,CHL,0.739,LAC,11.2,64,86.6,96,32.8,80,3.1,10,104.3,5.8,34,0.1,0
63,Palau,PLW,0.739,EAP,13.3,74.5,82.2,95,19.4,56.3,2.4,89,107.7,13.8,74.9,0,0
63,Saudi Arabia,SAU,0.739,MENA,10.7,54.5,63.5,100,19.9,71.3,1.4,7,105.1,8.2,87,0,5.1
67,Malaysia,MYS,0.738,EAP,11,60.6,87.5,94,14,60.6,2.6,26,106.5,7.4,36,0,0
68,Albania,ALB,0.731,CEE&CA,9.9,70.4,45.7,92,35.7,91.3,3.1,7,106.8,6.2,60,0.1,0
68,Fiji,FJI,0.731,EAP,10.4,44.4,75.9,93.9,9.1,82.5,3.1,30,107.1,23.2,77.9,0,0
70,Kuwait,KWT,0.723,MENA,8.4,40,73.5,100,3.1,38.1,2.7,8,104.7,8.2,84,0,0
70,Qatar,QAT,0.723,MENA,12.7,65.5,61.6,91.9,4.4,35.6,2.4,4,104.1,8.2,64.5,0,0
72,Kazakhstan,KAZ,0.722,CEE&CA,12.6,75.3,83.6,91,18.9,75.6,1.7,10,106.4,6,60,0,0
73,Viet Nam,VNM,0.721,EAP,8.5,82.6,52.8,98,31.4,88.1,2.1,48,110.6,9.5,86,0,0
74,Turkmenistan,TKM,0.72,CEE&CA,10.8,57.5,35.5,89,25.6,78.5,0.7,5,106.7,8.4,91,0,0
75,Russian Federation,RUS,0.718,CEE&CA,12.5,77.1,90.1,100,17,73.1,1.4,9,105.7,6.1,61,0,25.3
76,Puerto Rico,PRI,0.707,LAC,13.2,41.9,66.1,93,35,83.8,2.6,11,105.2,6.6,40,0.6,0
77,Sri Lanka,LKA,0.706,SA,10.7,40,89.3,87,9.8,65.6,2.4,18,104.4,4.1,57,0,0
78,Maldives,MDV,0.704,SA,7.4,53.2,74.2,83.7,3.2,73.8,2,32,105.1,6.1,43,0,0
79,Jamaica,JAM,0.703,LAC,10.2,75.9,71.6,93,31.3,74.4,3.1,130,103.9,7.3,60,1.3,0
80,Bolivia,BOL,0.701,LAC,9.2,79.2,63.3,86,48.2,88.8,2,146,104.2,18.3,43,0,1.8
80,Peru,PER,0.701,LAC,9.6,71.2,53,85,41.5,95,2.1,51,104.1,11.1,38,0.1,3.5
82,Kosovo,XKX,0.7,"CEE&CA, FS",8.4,22.8,47.4,97,36.7,91.9,2.5,175.5,106.9,11.9,85,0,32.5
83,Lao PDR,LAO,0.698,EAP,5.1,68.7,37.9,85,22,85.6,1.5,112,105.3,8,56,0,0
84,Israel,ISR,0.697,DC,13.6,76.8,91.9,96,24.2,80.6,2.9,2,105.5,5.6,63,0,99.6
84,Kyrgyzstan,KGZ,0.697,CEE&CA,11.8,53.4,43.8,95,22.2,76.9,2.5,42,105.6,13.3,71,0.1,0
86,Panama,PAN,0.696,LAC,10.8,60.9,43.1,84,21.7,79.4,2.9,37,105.3,7.8,54,0.1,0
87,El Salvador,SLV,0.691,LAC,7,58.2,29.2,86,31.7,88.8,0.8,39,104.8,5.7,85,0,0
88,Jordan,JOR,0.686,MENA,9.7,16,34.1,87,17.9,59.4,2.7,31,104.9,13.5,68,0,0
89,China,CHN,0.685,EAP,7.6,57.7,87.3,100,26.5,78.1,1.9,16,110.3,7.6,93,0,0
89,Samoa,WSM,0.685,EAP,11.8,37.6,69.8,86.7,13,75,2.1,101,107.6,17.8,74.2,0,0
89,Tajikistan,TJK,0.685,CEE&CA,10.9,28.8,39.4,68,26.6,78.8,0.7,14,106.3,14,93,0,0
89,Tonga,TON,0.685,EAP,10.9,56.2,75.9,93.9,10,58.8,2,67,108.1,16.9,77.9,0,0
89,Trinidad and Tobago,TTO,0.685,LAC,10.9,61.1,73.6,92,29.2,75,2.9,54,104,7.5,42,3,0
94,Gabon,GAB,0.679,SSA,10.5,59.7,61.3,89,23.4,95,2.9,233,102.1,22,34,0,0
94,Mauritius,MUS,0.679,SSA,10,57.7,89.4,93,17.9,89.4,2.5,66,103.5,11.4,53,0.3,0
96,Indonesia,IDN,0.678,EAP,8.2,59.5,52.3,75,21.9,70.6,2.3,140,106,8.9,74,0,9.4
97,Dominican Republic,DOM,0.675,LAC,9.2,61.4,49,90,33.3,86.3,1.9,124,104.4,9.6,40,0.1,0
98,Uzbekistan,UZB,0.674,CEE&CA,11.8,44.7,38.8,77,34,82.5,1.8,26,107.8,11.2,81,0,0
99,Bhutan,BTN,0.673,SA,5.2,68.4,27.7,69.7,6.9,75,2.8,47,104.8,8.6,59,0,0
100,Tunisia,TUN,0.671,MENA,7,27.8,28.7,86,14.8,64.4,3.2,36,105,10.1,55,0,7
101,Marshall Islands,MHL,0.67,"EAP, FS",11.5,43,65.4,87.9,12.1,65.6,2,155,107,19.3,70.7,0,0
102,Morocco,MAR,0.668,MENA,5.3,21.3,32.7,82,21.4,75.6,3,70,104.7,10.5,57,0,0
102,Timor-Leste,TLS,0.668,"EAP, FS",5.8,52.7,58.6,77.4,35.4,86.3,2.1,192,107.1,28.2,64.8,0,0
104,Belize,BLZ,0.667,LAC,9,60.9,52.3,84,19.6,82.5,2.1,67,105.1,7.8,66,1.5,0
104,Cambodia,KHM,0.667,EAP,4.4,82.9,32.5,79,15.5,81.3,1.2,137,105.3,9.1,54,0,0
106,Türkiye,TUR,0.664,CEE&CA,7.9,39.6,62.5,96,19.9,82.5,1.8,15,105,12.1,44,0,30.7
107,Nicaragua,NIC,0.659,LAC,9.9,57.5,21.6,84,55,86.3,0.1,60,103.5,6.4,54,0,0
108,Botswana,BWA,0.658,SSA,9.7,60.1,53.9,90,8.7,63.8,3,155,103.2,17.1,27,0,0
108,Solomon Islands,SLB,0.658,"EAP, FS",5.5,90,58.6,77.4,6,56.9,3,123,107,28.1,64.8,0,0
110,Senegal,SEN,0.657,SSA,2.7,50,50.3,84,41.2,72.5,2.4,237,103.1,12.4,48,0,0
111,Azerbaijan,AZE,0.653,CEE&CA,11,68.9,38.8,86,20.8,85,1.5,18,111.3,5.2,62,0,23.3
112,Kiribati,KIR,0.652,"EAP, FS",9.3,42.9,58.6,77.4,11.1,76.3,2,80,107.1,25.2,64.8,0,0
113,Federated States of Micronesia,FSM,0.648,"EAP, FS",6.9,49.4,58.6,77.4,21.4,61.3,2,129,107,21.1,64.8,0,0
113,South Africa,ZAF,0.648,SSA,10.5,45,86.2,83,44.7,88.1,3.3,118,104,13.1,25,0.1,47.6
115,Vanuatu,VUT,0.646,EAP,6.9,45.1,66.9,79.9,1.9,55.6,3.6,100,107,29.4,70.1,0,0
116,Ukraine,UKR,0.645,"CEE&CA, FS",11.4,67.7,80.7,100,21.2,85,2.4,15,106.2,8.7,51,0,92
117,Ghana,GHA,0.639,SSA,6.1,75.8,62.6,86,14.6,75,2.7,234,103.8,10.2,62,0.1,5.9
118,Venezuela,VEN,0.638,"LAC, FS",10,55.5,79.7,98,32.1,85,1,227,105.2,8.5,52,0.1,38.2
119,Brazil,BRA,0.632,LAC,8.6,60.5,80.9,91,18.4,85,2.6,67,104.5,6.5,40,0.3,44.5
120,Nepal,NPL,0.631,SA,3.5,30.5,49.9,75,34.1,80.6,2.7,142,104.9,11.4,55,0.1,0
121,Rwanda,RWA,0.624,SSA,4.5,51.3,45,67,61.3,91.9,2.2,229,102.6,23.5,76,0,17.6
121,Tanzania,TZA,0.624,SSA,5.5,88.1,46,75,37.8,81.3,2.6,276,103.1,24.3,60,0,15.8
123,Algeria,DZA,0.621,MENA,6.5,17.8,31.2,100,6.8,57.5,2.5,62,104.6,10.5,71,0,2.6
124,São Tomé and Príncipe,STP,0.62,"SSA, FS",5.2,21.5,49.5,70.7,14.6,83.1,2.7,75,102.7,18.1,55.7,0,0
125,Egypt,EGY,0.617,MENA,7.9,20.1,24.2,74,23,50.6,2.3,17,105.5,15.1,76,0,52.1
126,Lesotho,LSO,0.614,SSA,8.4,54.7,62.4,80,24.2,80.6,2.7,478,102.8,16.5,29,0,0
127,Ecuador,ECU,0.612,LAC,8.9,61.7,57.9,87,45,89.4,2.1,55,104.6,8.1,31,0.1,74.1
128,Iran,IRN,0.608,SA,10.9,14.8,85.1,87,4.9,31.3,1.5,16,105.2,17.6,72,0,17.8
128,Libya,LBY,0.608,"MENA, FS",8.4,36.1,59.6,100,16.5,50,0.8,59,105.7,12.7,77,0,34.2
128,Namibia,NAM,0.608,SSA,7.5,60.1,69.3,79,32.6,80,2.9,139,101.1,15.9,44,0.2,0
131,India,IND,0.607,SA,6.2,42.2,77.6,68,14.7,74.4,2.1,80,107.1,18.4,68,0,15
131,Philippines,PHL,0.607,EAP,9.1,62.3,47.4,91,28.2,78.8,2.7,84,107.7,5.9,58,0.1,71.4
133,Angola,AGO,0.601,SSA,4.5,78.6,22.3,71,39.1,79.4,2.4,183,102.8,24.7,58,0,2.3
133,Sierra Leone,SLE,0.601,SSA,2.4,62.6,24.8,52,29.5,92.5,2.8,354,103.4,19.8,50,0,0
135,Comoros,COM,0.59,"SSA, FS",5.2,61.1,29.3,65,15.2,65,1,179,103.2,8.2,60,0,0
135,Zimbabwe,ZWE,0.59,"SSA, FS",8.1,66.2,54,82,33.2,86.9,2.4,358,102.5,18.2,33,0.1,0
137,Côte d'Ivoire,CIV,0.589,SSA,4,71.7,37.4,85,16.5,95,2.1,359,103,16.4,60,0,0
138,Benin,BEN,0.587,SSA,2,86.2,39.8,75,26.6,83.8,2.9,518,104.2,14.6,58,0.1,0
138,Uganda,UGA,0.587,SSA,5.2,80.1,65.1,68,34.1,83.8,1.9,170,102.9,26.1,44,0.1,16.3
140,Congo,COG,0.583,"SSA, FS",7.3,57.1,43.8,67,20.2,58.1,1.5,241,102.6,18.5,45,0,0
141,Lebanon,LBN,0.575,"MENA, FS",13.1,30.9,16.6,90,6.3,58.8,1.9,15,105.3,14.7,44,0,100
142,Zambia,ZMB,0.566,SSA,6.6,66.5,45,74,15,81.3,2.1,85,101.1,27.8,35,0,0
143,Togo,TGO,0.562,SSA,4.5,83.8,44.3,77,18.4,97.5,1.2,349,102.8,12.7,43,0,16.4
144,Guatemala,GTM,0.561,LAC,5.3,58.9,34.3,79,20,73.8,1.4,94,103.9,7.3,46,0.1,36
144,Honduras,HND,0.561,LAC,6.8,44.6,28.9,83,27.3,75,1.9,47,105.1,7.2,54,0.7,63.6
146,Djibouti,DJI,0.56,MENA,2.7,16,8.8,66.2,26.2,71.3,2.2,162,103.7,17.5,58.5,0,0
147,Mexico,MEX,0.558,LAC,9.1,55.6,42.3,81,50.2,88.8,1.8,42,103.9,9.9,41,0.7,87.8
148,Eswatini,SWZ,0.556,SSA,8.5,42.6,69.2,85,28.8,46.3,1.7,118,102.9,17.7,32,0,100
149,Colombia,COL,0.551,LAC,9,57.9,56.2,88,30.1,84.4,2.2,59,104.6,11.9,42,0.4,93.2
150,Malawi,MWI,0.549,SSA,4.3,71.3,38.1,59,20.7,80,2.5,225,101.4,16.6,46,0,0
151,Mozambique,MOZ,0.548,"SSA, FS",3.7,80.9,38.7,58,39.2,82.5,1.6,82,102,16.4,45,0.1,46.5
152,Kenya,KEN,0.542,SSA,8,66.3,75.4,90,24.6,83.8,2.2,379,102.1,22.8,40,0.2,20.9
153,Gambia,GMB,0.528,SSA,3.7,55.3,28.1,80,8.6,69.4,3.2,354,103.2,10,39,0.1,9.3
154,Guinea,GIN,0.527,SSA,1.5,49.8,24,83,29.6,73.8,1.5,494,104.5,20.8,56,0,0
155,Bangladesh,BGD,0.526,SA,6.2,40.8,43.5,72,20,49.4,1.5,115,104.9,23.2,72,0,86.1
156,Ethiopia,ETH,0.516,"SSA, FS",1.6,62.3,38.7,44,39.1,80,2.2,195,105.5,26.5,52,0,67.6
157,Liberia,LBR,0.512,SSA,3.9,52.5,44.2,63,10.7,81.3,2.6,628,103.8,26.9,29,0,41.6
158,Iraq,IRQ,0.51,"MENA, FS",5.6,11,14.9,85,28.9,48.1,1.4,66,105.7,15.1,67,0.1,56.8
159,Guinea-Bissau,GNB,0.508,"SSA, FS",2.5,70.2,31.4,58.5,9.8,51.9,1.7,505,104,21.2,47.8,0,0
160,Burkina Faso,BFA,0.507,"SSA, FS",1.6,74.8,30.7,80,18.3,82.5,2.2,242,104.2,11.2,63,0.3,84.8
160,Papua New Guinea,PNG,0.507,"EAP, FS",4.3,60.7,58.6,77.4,2.7,60,2.4,189,107.6,30.6,64.8,0.3,16
162,Nigeria,NGA,0.495,"SSA, FS",6.6,87.9,35,85,3.6,66.3,2.6,993,103.8,13.2,51,0.1,60.1
163,Niger,NER,0.492,"SSA, FS",1,79,10.2,43,19.6,53.8,3,350,104,12.9,63,0.1,29.8
164,Mali,MLI,0.478,"SSA, FS",1.1,47.2,41.2,70,30.4,63.8,2.3,367,103.3,18.4,67,0.1,66.4
165,Chad,TCD,0.476,"SSA, FS",1.3,57.5,22.6,49,35,66.3,1.3,748,104.2,16.2,43,0,18.6
166,Mauritania,MRT,0.475,SSA,4.2,33.9,16.1,78,23.3,48.1,0.8,381,103.3,18.3,60,0,57
167,Palestine ,PSE,0.469,"MENA, FS",10.2,16.9,25.9,94,21,26.3,2.5,16,105.1,19.1,56,1.1,100
168,Madagascar,MDG,0.466,SSA,4.3,76.1,25.2,39,13.8,69.4,1.8,445,103.8,21.9,38,0.3,0
169,Pakistan,PAK,0.462,SA,3.9,25.3,13.5,28,17.4,58.8,2.3,155,105.5,16.2,41,0,42.8
170,Somalia,SOM,0.455,"MENA, FS",0.9,23,33.7,87,20.1,46.9,2,563,104.4,19.8,82,0.1,45.2
171,Cameroon,CMR,0.451,"SSA, FS",5.7,70.1,49.3,76,33.6,60,2.3,258,103,22,41,1.3,89.4
172,Myanmar,MMR,0.442,"EAP, FS",6.1,52.7,46.2,94,15,58.8,1,185,106.6,10.7,38,0.4,100
173,South Sudan,SSD,0.411,"SSA, FS",4.8,58.5,4.2,58.5,32.3,67.5,1.3,692,103.5,26.7,43,0.5,42.2
174,Burundi,BDI,0.407,"SSA, FS",2.8,89.9,6.7,58.5,38.9,76.3,1.1,392,102.5,22.1,62,0.4,100
175,Democratic Republic of the Congo,COD,0.405,"SSA, FS",6.1,69.2,20.5,35,13.5,78.8,1.3,427,102.3,35.6,45,0.1,31.3
176,Haiti,HTI,0.399,"LAC, FS",4.8,54.3,30,75.5,2.5,61.3,1.1,328,103.1,12.2,45,0.8,81.8
177,Sudan,SDN,0.397,"MENA, FS",4.2,15.6,10,62,22.1,32.5,1.3,256,104.1,16.7,52.2,0.4,63.4
178,Syrian Arab Republic,SYR,0.364,"MENA, FS",5.1,46.4,19.6,69.1,9.6,40,0.7,20,105.3,19,17,0.9,97.1
179,Central African Republic,CAF,0.362,"SSA, FS",2.6,58.5,9.7,58.5,11.4,77.5,1.5,692,103.2,20.9,50,0.4,86.1
180,Yemen,YEM,0.323,"MENA, FS",3.6,5.5,5.4,52,0.3,26.9,0.8,118,105.9,19.8,43,0.1,71.3
181,Afghanistan,AFG,0.279,"SA, FS",1.2,25.1,4.7,43,27.2,31.9,0.2,521,105.1,34.7,25,0.3,68.2
